sort,code,max_type,med_type,min_type
694,160143,金融保险服务,银行,永亨银行
695,160144,金融保险服务,银行,香港永隆银行
696,160145,金融保险服务,银行,创兴银行
697,160146,金融保险服务,银行,大新银行
698,160147,金融保险服务,银行,中信银行(国际)
699,160148,金融保险服务,银行,大众银行(香港)
700,160149,金融保险服务,银行,北京农商银行
701,160150,金融保险服务,银行,上海农商银行
702,160151,金融保险服务,银行,广州农商银行
703,160152,金融保险服务,银行,深圳农村商业银行
704,160200,金融保险服务,银行相关,银行相关
705,160300,金融保险服务,自动提款机,自动提款机
706,160301,金融保险服务,自动提款机,中国银行ATM
707,160302,金融保险服务,自动提款机,中国工商银行ATM
708,160303,金融保险服务,自动提款机,中国建设银行ATM
709,160304,金融保险服务,自动提款机,中国农业银行ATM
710,160305,金融保险服务,自动提款机,交通银行ATM
711,160306,金融保险服务,自动提款机,招商银行ATM
712,160307,金融保险服务,自动提款机,华夏银行ATM
713,160308,金融保险服务,自动提款机,中信银行ATM
714,160309,金融保险服务,自动提款机,中国民生银行ATM
715,160310,金融保险服务,自动提款机,中国光大银行ATM
716,160311,金融保险服务,自动提款机,上海银行ATM
717,160312,金融保险服务,自动提款机,上海浦东发展银行ATM
718,160314,金融保险服务,自动提款机,平安银行ATM
719,160315,金融保险服务,自动提款机,兴业银行ATM
720,160316,金融保险服务,自动提款机,北京银行ATM
721,160317,金融保险服务,自动提款机,广发银行ATM
722,160318,金融保险服务,自动提款机,农村商业银行ATM
723,160319,金融保险服务,自动提款机,香港恒生银行ATM
724,160320,金融保险服务,自动提款机,东亚银行ATM
725,160321,金融保险服务,自动提款机,花旗银行ATM
726,160322,金融保险服务,自动提款机,渣打银行ATM
727,160323,金融保险服务,自动提款机,汇丰银行ATM
728,160324,金融保险服务,自动提款机,荷兰银行ATM
729,160325,金融保险服务,自动提款机,美国运通银行ATM
730,160326,金融保险服务,自动提款机,瑞士友邦银行ATM
731,160327,金融保险服务,自动提款机,美国银行ATM
732,160328,金融保险服务,自动提款机,蒙特利尔银行ATM
733,160329,金融保险服务,自动提款机,纽约银行ATM
734,160330,金融保险服务,自动提款机,苏格兰皇家银行ATM
735,160331,金融保险服务,自动提款机,法国兴业银行ATM
736,160332,金融保险服务,自动提款机,德意志银行ATM
737,160333,金融保险服务,自动提款机,日本三菱东京日联银行ATM
738,160334,金融保险服务,自动提款机,巴克莱银行ATM
739,160335,金融保险服务,自动提款机,摩根大通银行ATM
740,160336,金融保险服务,自动提款机,中国邮政储蓄银行ATM
741,160337,金融保险服务,自动提款机,香港星展银行ATM
742,160338,金融保险服务,自动提款机,南洋商业银行ATM
743,160339,金融保险服务,自动提款机,上海商业银行ATM
744,160340,金融保险服务,自动提款机,永亨银行ATM
745,160341,金融保险服务,自动提款机,香港永隆银行ATM
746,160342,金融保险服务,自动提款机,创兴银行ATM
747,160343,金融保险服务,自动提款机,大新银行ATM
748,160344,金融保险服务,自动提款机,中信银行(国际)ATM
749,160345,金融保险服务,自动提款机,大众银行(香港)ATM
750,160346,金融保险服务,自动提款机,北京农商银行ATM
751,160347,金融保险服务,自动提款机,上海农商银行ATM
752,160348,金融保险服务,自动提款机,广州农商银行ATM
753,160349,金融保险服务,自动提款机,深圳农村商业银行ATM
754,160400,金融保险服务,保险公司,保险公司
755,160401,金融保险服务,保险公司,中国人民保险公司
756,160402,金融保险服务,保险公司,中国人寿保险公司
757,160403,金融保险服务,保险公司,中国平安保险公司
758,160404,金融保险服务,保险公司,中国再保险公司
759,160405,金融保险服务,保险公司,中国太平洋保险
760,160406,金融保险服务,保险公司,新华人寿保险公司
761,160407,金融保险服务,保险公司,华泰财产保险股份有限公司
762,160408,金融保险服务,保险公司,泰康人寿保险公司
763,160500,金融保险服务,证券公司,证券公司
764,160501,金融保险服务,证券公司,证券营业厅
765,160600,金融保险服务,财务公司,财务公司
767,170100,公司企业,知名企业,知名企业
768,170200,公司企业,公司,公司
769,170201,公司企业,公司,广告装饰
770,170202,公司企业,公司,建筑公司
771,170203,公司企业,公司,医药公司
772,170204,公司企业,公司,机械电子
773,170205,公司企业,公司,冶金化工
774,170206,公司企业,公司,网络科技
775,170207,公司企业,公司,商业贸易
776,170208,公司企业,公司,电信公司
777,170209,公司企业,公司,矿产公司
778,170300,公司企业,工厂,工厂
779,170400,公司企业,农林牧渔基地,其它农林牧渔基地
780,170401,公司企业,农林牧渔基地,渔场
781,170402,公司企业,农林牧渔基地,农场
782,170403,公司企业,农林牧渔基地,林场
783,170404,公司企业,农林牧渔基地,牧场
784,170405,公司企业,农林牧渔基地,家禽养殖基地
785,170406,公司企业,农林牧渔基地,蔬菜基地
786,170407,公司企业,农林牧渔基地,水果基地
788,180000,道路附属设施,道路附属设施,道路附属设施
789,180100,道路附属设施,警示信息,警示信息
790,180101,道路附属设施,警示信息,摄像头
791,180102,道路附属设施,警示信息,测速设施
792,180103,道路附属设施,警示信息,铁路道口
793,180104,道路附属设施,警示信息,违章停车
794,180200,道路附属设施,收费站,收费站
795,180201,道路附属设施,收费站,高速收费站
796,180202,道路附属设施,收费站,国省道收费站
797,180203,道路附属设施,收费站,桥洞收费站
798,180300,道路附属设施,服务区,高速服务区
799,180301,道路附属设施,服务区,高速加油站服务区
800,180302,道路附属设施,服务区,高速停车区
801,180400,道路附属设施,红绿灯,红绿灯
802,180500,道路附属设施,路牌信息,路牌信息
804,190100,地名地址信息,普通地名,普通地名
805,190101,地名地址信息,普通地名,国家名
806,190102,地名地址信息,普通地名,省级地名
807,190103,地名地址信息,普通地名,直辖市级地名
808,190104,地名地址信息,普通地名,地市级地名
809,190105,地名地址信息,普通地名,区县级地名
810,190106,地名地址信息,普通地名,乡镇级地名
811,190107,地名地址信息,普通地名,街道级地名
812,190108,地名地址信息,普通地名,村庄级地名
813,190109,地名地址信息,普通地名,村组级地名
814,190200,地名地址信息,自然地名,自然地名
815,190201,地名地址信息,自然地名,海湾海峡
816,190202,地名地址信息,自然地名,岛屿
817,190203,地名地址信息,自然地名,山
818,190204,地名地址信息,自然地名,河流
819,190205,地名地址信息,自然地名,湖泊
820,190300,地名地址信息,交通地名,交通地名
821,190301,地名地址信息,交通地名,道路名
822,190302,地名地址信息,交通地名,路口名
823,190303,地名地址信息,交通地名,环岛名
824,190304,地名地址信息,交通地名,高速路出口
825,190305,地名地址信息,交通地名,高速路入口
826,190306,地名地址信息,交通地名,立交桥
827,190307,地名地址信息,交通地名,桥
828,190308,地名地址信息,交通地名,城市快速路出口
829,190309,地名地址信息,交通地名,城市快速路入口
830,190310,地名地址信息,交通地名,隧道
831,190311,地名地址信息,交通地名,铁路
832,190400,地名地址信息,门牌信息,门牌信息
833,190401,地名地址信息,门牌信息,地名门牌
834,190402,地名地址信息,门牌信息,道路门牌
835,190403,地名地址信息,门牌信息,楼栋号
836,190500,地名地址信息,市中心,城市中心
837,190600,地名地址信息,标志性建筑物,标志性建筑物
838,190700,地名地址信息,热点地名,热点地名
840,200100,公共设施,报刊亭,报刊亭
841,200200,公共设施,公用电话,公用电话
842,200300,公共设施,公共厕所,公共厕所
843,200301,公共设施,公共厕所,男洗手间
844,200302,公共设施,公共厕所,女洗手间
845,200303,公共设施,公共厕所,残障洗手间/无障碍洗手间
846,200304,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室
847,200400,公共设施,紧急避难场所,紧急避难场所
849,220100,事件活动,公众活动,公众活动
850,220101,事件活动,公众活动,节日庆典
851,220102,事件活动,公众活动,展会展览
852,220103,事件活动,公众活动,体育赛事
853,220104,事件活动,公众活动,文艺演出
854,220105,事件活动,公众活动,大型会议
855,220106,事件活动,公众活动,运营活动
856,220107,事件活动,公众活动,商场活动
857,220200,事件活动,突发事件,突发事件
858,220201,事件活动,突发事件,自然灾害
859,220202,事件活动,突发事件,事故灾难
860,220203,事件活动,突发事件,城市新闻
861,220204,事件活动,突发事件,公共卫生事件
862,220205,事件活动,突发事件,公共社会事件
863,970000,室内设施,室内设施,室内设施
865,991000,通行设施,建筑物门,建筑物门
866,991001,通行设施,建筑物门,建筑物正门
867,991400,通行设施,临街院门,临街院门
868,991401,通行设施,临街院门,临街院正门
869,991500,通行设施,虚拟门,虚拟门
