number,uid,x,y
1,61085211d40b96dfc41b7589,121.18394562252428,30.724457511364673
2,61085211d40b96dfc41b7589,121.18485134737129,30.724494064037692
3,61085211d40b96dfc41b7589,121.1849966301442,30.724413355862684
4,61085211d40b96dfc41b7589,121.18543746735595,30.72440911512941
5,61085211d40b96dfc41b7589,121.18560178452108,30.72432943707202
6,61085211d40b96dfc41b7589,121.18562287743862,30.723669810767916
7,61085211d40b96dfc41b7589,121.18550766975596,30.72353168457286
8,61085211d40b96dfc41b7589,121.18391969078816,30.722985221677842
9,61085211d40b96dfc41b7589,121.1837122853438,30.723087806855432
10,61085211d40b96dfc41b7589,121.18359905988204,30.723193554489963
11,61085211d40b96dfc41b7589,121.18394562252428,30.724457511364673
12,101bc61b1676c1a0c42ba16f,121.31198169953439,30.728055501055657
13,101bc61b1676c1a0c42ba16f,121.31249256715628,30.728144459559275
14,101bc61b1676c1a0c42ba16f,121.31256542278933,30.727927427404175
15,101bc61b1676c1a0c42ba16f,121.31277103256515,30.72711643658512
16,101bc61b1676c1a0c42ba16f,121.31276604640682,30.727088460516903
17,101bc61b1676c1a0c42ba16f,121.31200572422557,30.727063957820747
18,101bc61b1676c1a0c42ba16f,121.31177318310512,30.727749062539726
19,101bc61b1676c1a0c42ba16f,121.31192584198907,30.72780473719903
20,101bc61b1676c1a0c42ba16f,121.31198169953439,30.728055501055657
21,8fde79ccaa9975be95ca0731,121.33941192549848,30.709980735100466
22,8fde79ccaa9975be95ca0731,121.33990708528938,30.707555437493124
23,8fde79ccaa9975be95ca0731,121.34051158119196,30.707229152474184
24,8fde79ccaa9975be95ca0731,121.34376112304491,30.710315544869747
25,8fde79ccaa9975be95ca0731,121.343345999136,30.71061047006152
26,8fde79ccaa9975be95ca0731,121.34214371926842,30.710407811619113
27,8fde79ccaa9975be95ca0731,121.3410221136209,30.710240219569453
28,8fde79ccaa9975be95ca0731,121.33964504966725,30.710013885079277
29,8fde79ccaa9975be95ca0731,121.33941192549848,30.709980735100466
30,414b01aa07846efe400245c5,121.33712198333086,30.713366061727392
31,414b01aa07846efe400245c5,121.33395719209422,30.710419232084476
32,414b01aa07846efe400245c5,121.33308906792506,30.710867626253282
33,414b01aa07846efe400245c5,121.33634063729954,30.713884214977803
34,414b01aa07846efe400245c5,121.3371099976163,30.713496020689544
35,414b01aa07846efe400245c5,121.33712995949925,30.71343301528899
36,414b01aa07846efe400245c5,121.33712198333086,30.713366061727392
37,2c8cbd8a10010e735e17c3c1,121.33595144156823,30.72544532504792
38,2c8cbd8a10010e735e17c3c1,121.33598935208894,30.72551722168788
39,2c8cbd8a10010e735e17c3c1,121.33601030587278,30.725526179508897
40,2c8cbd8a10010e735e17c3c1,121.33775846885663,30.725891878751433
41,2c8cbd8a10010e735e17c3c1,121.33784627851195,30.725895721463527
42,2c8cbd8a10010e735e17c3c1,121.3379001620692,30.725886630570145
43,2c8cbd8a10010e735e17c3c1,121.33792910173216,30.725865589696383
44,2c8cbd8a10010e735e17c3c1,121.3379859817284,30.725826508179743
45,2c8cbd8a10010e735e17c3c1,121.3380608254286,30.725766405266786
46,2c8cbd8a10010e735e17c3c1,121.33807978596553,30.72574638158463
47,2c8cbd8a10010e735e17c3c1,121.3380897812259,30.725556456344535
48,2c8cbd8a10010e735e17c3c1,121.33806385223859,30.725390582780918
49,2c8cbd8a10010e735e17c3c1,121.33772863311387,30.724760481735277
50,2c8cbd8a10010e735e17c3c1,121.33769371157948,30.724727559627098
51,2c8cbd8a10010e735e17c3c1,121.33764082858897,30.724702665412284
52,2c8cbd8a10010e735e17c3c1,121.33757397458683,30.724686791691905
53,2c8cbd8a10010e735e17c3c1,121.33592255394944,30.724885649676665
54,2c8cbd8a10010e735e17c3c1,121.33587465612939,30.724908724792193
55,2c8cbd8a10010e735e17c3c1,121.3358527016589,30.72494074886025
56,2c8cbd8a10010e735e17c3c1,121.33584471361897,30.724998735035133
57,2c8cbd8a10010e735e17c3c1,121.33595144156823,30.72544532504792
58,bee6a5d41f859f9bd72ce2ec,121.15267608659207,30.78945842748988
59,bee6a5d41f859f9bd72ce2ec,121.15554516166289,30.789348762516067
60,bee6a5d41f859f9bd72ce2ec,121.15555096893429,30.78916585693283
61,bee6a5d41f859f9bd72ce2ec,121.15550526781857,30.788686674245408
62,bee6a5d41f859f9bd72ce2ec,121.15563022310867,30.786703389631814
63,bee6a5d41f859f9bd72ce2ec,121.15577852639753,30.785980366199777
64,bee6a5d41f859f9bd72ce2ec,121.15590469436125,30.78536969259544
65,bee6a5d41f859f9bd72ce2ec,121.15590456944295,30.785233772623645
66,bee6a5d41f859f9bd72ce2ec,121.15464155449675,30.78484194042879
67,bee6a5d41f859f9bd72ce2ec,121.15424499216877,30.78463777034476
68,bee6a5d41f859f9bd72ce2ec,121.15275372573966,30.784076097445386
69,bee6a5d41f859f9bd72ce2ec,121.15267608659207,30.78945842748988
