lon,lat,name,address,pname,cityname,business_area,type
112.70091972852008,27.116057834268677,九观桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.78667637188416,27.111606920899522,小龙荫桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.51077892297633,27.387300268225818,曲云桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.78682712375956,27.234871376498454,师古北桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.81572246482598,27.298689542743723,七姐妹桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.7021292682358,27.340368728262423,新桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.86183586148448,27.14593762088071,彩虹桥,衡山县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.6166956988565,26.81485913651993,茅叶滩大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.65706857440902,26.965042693312924,湘江大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.61478165448517,26.88752394996609,衡湘公铁大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.6549033055364,26.91461883388185,耒水大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.6895411599808,26.9249658624567,酃茶大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.69084541565864,26.92466171439339,茶山坳大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.62671378029111,26.75320487393608,新塘埠湘江大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.64020621278968,26.92629212632205,耒河大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.64116750584817,26.86931773992754,东洲湘江大桥,珠晖区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.56702130376092,26.596233349592442,松柏湘江大桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.57972770462624,26.761735169296227,车江中桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.73183600293555,26.870428037897458,泉溪大桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.74664761365001,26.766235476623024,茶市大桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.58927998139868,26.750897520590648,布皂坳桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.354925073067,26.823270939733472,蟠龙桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.62068660138267,26.594311274982488,交河口大桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.68026880530782,26.749842125595254,衡南湘江公路大桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.48882367087211,26.598357573617864,栗江镇太古桥,衡南县,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.58703630474521,26.92093242914173,雅士林大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.57836729911895,26.920385770800692,铜钱渡大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.6097090481566,26.914947133765136,青草桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.56802619281004,26.926577413631627,长丰大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.5908434886633,26.960776457629223,青石村大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.59726638348916,26.915822748467928,蒸水大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.55994915706616,26.934183383831936,蒸水大桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
112.61101235610097,26.906892962738834,衡湘公路二桥,石鼓区,湖南省,衡阳市,,地名地址信息;交通地名;桥
